Year,Model,Price,Exterior_Color,Drivetrain,Fuel_Type,Engine,Mileage,Seller_Type
2022,CR-V EX-L,"$35,040 ",White,AWD,Gasoline,1.5L Turbo,4,Dealer
2022,CR-V EX,"$30,500 ",White,AWD,Gasoline,1.5L Turbo,7709,Dealer
2022,CR-V Touring,"$38,240 ",White,AWD,Gasoline,1.5L Turbo,6,Dealer
2022,CR-V EX,"$32,244 ",White,AWD,Gasoline,1.5L Turbo,11408,Dealer
2022,CR-V EX,"$32,493 ",White,AWD,Gasoline,1.5L Turbo,6088,Dealer
2022,CR-V Touring,"$39,729 ",White,AWD,Gasoline,1.5L Turbo,7,Dealer
2022,CR-V EX-L,"$34,620 ",White,AWD,Gasoline,1.5L Turbo,3,Dealer
2022,CR-V Touring,"$38,240 ",White,AWD,Gasoline,1.5L Turbo,0,Dealer
2022,CR-V EX-L,"$33,688 ",White,AWD,Gasoline,1.5L Turbo,2384,Dealer
2022,CR-V EX-L,"$35,040 ",White,AWD,Gasoline,1.5L Turbo,35,Dealer
2022,CR-V EX,"$30,335 ",White,AWD,Gasoline,1.5L Turbo,2258,Dealer
2023,CR-V EX-L,"$36,505 ",Black,AWD,Gasoline,1.5L Turbo,482,Dealer
2023,CR-V EX,"$33,855 ",Black,AWD,Gasoline,1.5L Turbo,12,Dealer
2023,CR-V EX-L,"$34,640 ",Black,AWD,Gasoline,1.5L Turbo,5,Dealer
2023,CR-V EX-L,"$37,055 ",Black,AWD,Gasoline,1.5L Turbo,1,Dealer
2023,CR-V EX-L,"$38,500 ",Black,AWD,Gasoline,1.5L Turbo,12,Dealer
2023,CR-V EX-L,"$36,505 ",Black,AWD,Gasoline,1.5L Turbo,6,Dealer
2023,CR-V EX,"$33,855 ",Black,AWD,Gasoline,1.5L Turbo,14,Dealer
2023,CR-V EX-L,"$37,005 ",Black,AWD,Gasoline,1.5L Turbo,0,Dealer
2023,CR-V EX-L,"$36,505 ",Black,AWD,Gasoline,1.5L Turbo,–,Dealer
